trial_id,trial_type,condition,chain_index,initial_hypothesis,final_hypothesis,final_length,response_type,additive_moves,subtractive_moves,accuracy
S1,subtractive,p_add=0.5_steps=500_temp=1.0,0,red;square;small,red,1,subtractive,14,16,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,1,red;square;small,red;square,2,subtractive,19,20,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,2,red;square;small,red,1,subtractive,19,21,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,3,red;square;small,red,1,subtractive,24,26,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,4,red;square;small,red,1,subtractive,24,26,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,5,red;square;small,red;square,2,subtractive,21,22,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,6,red;square;small,red,1,subtractive,20,22,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,7,red;square;small,red,1,subtractive,21,23,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,8,red;square;small,red,1,subtractive,18,20,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,9,red;square;small,red,1,subtractive,22,24,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,10,red;square;small,red,1,subtractive,21,23,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,11,red;square;small,red,1,subtractive,22,24,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,12,red;square;small,red,1,subtractive,22,24,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,13,red;square;small,red,1,subtractive,31,33,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,14,red;square;small,red,1,subtractive,20,22,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,15,red;square;small,red,1,subtractive,24,26,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,16,red;square;small,red,1,subtractive,23,25,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,17,red;square;small,red,1,subtractive,20,22,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,18,red;square;small,red,1,subtractive,28,30,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,19,red;square;small,red,1,subtractive,26,28,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,20,red;square;small,red,1,subtractive,18,20,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,21,red;square;small,red,1,subtractive,18,20,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,22,red;square;small,red,1,subtractive,20,22,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,23,red;square;small,red,1,subtractive,19,21,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,24,red;square;small,red,1,subtractive,18,20,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,25,red;square;small,red,1,subtractive,31,33,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,26,red;square;small,red,1,subtractive,23,25,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,27,red;square;small,red,1,subtractive,17,19,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,28,red;square;small,red;square,2,subtractive,13,14,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,29,red;square;small,red,1,subtractive,13,15,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,30,red;square;small,red,1,subtractive,26,28,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,31,red;square;small,red,1,subtractive,17,19,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,32,red;square;small,red,1,subtractive,18,20,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,33,red;square;small,red,1,subtractive,15,17,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,34,red;square;small,red,1,subtractive,23,25,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,35,red;square;small,red,1,subtractive,19,21,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,36,red;square;small,red,1,subtractive,18,20,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,37,red;square;small,red;square,2,subtractive,23,24,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,38,red;square;small,red,1,subtractive,24,26,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,39,red;square;small,red,1,subtractive,18,20,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,40,red;square;small,red,1,subtractive,23,25,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,41,red;square;small,red,1,subtractive,14,16,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,42,red;square;small,striped;square,2,mixed,24,25,0.6666666666666666
S1,subtractive,p_add=0.5_steps=500_temp=1.0,43,red;square;small,red,1,subtractive,13,15,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,44,red;square;small,red,1,subtractive,16,18,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,45,red;square;small,red,1,subtractive,19,21,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,46,red;square;small,red;square,2,subtractive,25,26,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,47,red;square;small,red;square,2,subtractive,25,26,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,48,red;square;small,red;square,2,subtractive,16,17,1.0
S1,subtractive,p_add=0.5_steps=500_temp=1.0,49,red;square;small,red,1,subtractive,27,29,1.0
A1,additive,p_add=0.5_steps=500_temp=1.0,0,red,red,1,nochange,20,20,1.0
A1,additive,p_add=0.5_steps=500_temp=1.0,1,red,red,1,nochange,21,21,1.0
A1,additive,p_add=0.5_steps=500_temp=1.0,2,red,red;circle,2,additive,29,28,1.0
A1,additive,p_add=0.5_steps=500_temp=1.0,3,red,red;circle,2,additive,19,18,1.0
A1,additive,p_add=0.5_steps=500_temp=1.0,4,red,red,1,nochange,17,17,1.0
A1,additive,p_add=0.5_steps=500_temp=1.0,5,red,red,1,nochange,23,23,1.0
A1,additive,p_add=0.5_steps=500_temp=1.0,6,red,red,1,nochange,20,20,1.0
A1,additive,p_add=0.5_steps=500_temp=1.0,7,red,red,1,nochange,14,14,1.0
A1,additive,p_add=0.5_steps=500_temp=1.0,8,red,red,1,nochange,20,20,1.0
A1,additive,p_add=0.5_steps=500_temp=1.0,9,red,red,1,nochange,21,21,1.0
A1,additive,p_add=0.5_steps=500_temp=1.0,10,red,,0,subtractive,27,28,0.6666666666666666
A1,additive,p_add=0.5_steps=500_temp=1.0,11,red,red;circle,2,additive,28,27,1.0
A1,additive,p_add=0.5_steps=500_temp=1.0,12,red,red,1,nochange,17,17,1.0
A1,additive,p_add=0.5_steps=500_temp=1.0,13,red,red;circle,2,additive,24,23,1.0
A1,additive,p_add=0.5_steps=500_temp=1.0,14,red,red,1,nochange,17,17,1.0
A1,additive,p_add=0.5_steps=500_temp=1.0,15,red,red,1,nochange,16,16,1.0
A1,additive,p_add=0.5_steps=500_temp=1.0,16,red,red,1,nochange,18,18,1.0
A1,additive,p_add=0.5_steps=500_temp=1.0,17,red,red,1,nochange,20,20,1.0
A1,additive,p_add=0.5_steps=500_temp=1.0,18,red,red,1,nochange,24,24,1.0
A1,additive,p_add=0.5_steps=500_temp=1.0,19,red,red;circle,2,additive,21,20,1.0
A1,additive,p_add=0.5_steps=500_temp=1.0,20,red,red,1,nochange,22,22,1.0
A1,additive,p_add=0.5_steps=500_temp=1.0,21,red,red,1,nochange,22,22,1.0
A1,additive,p_add=0.5_steps=500_temp=1.0,22,red,red,1,nochange,22,22,1.0
A1,additive,p_add=0.5_steps=500_temp=1.0,23,red,red;circle,2,additive,28,27,1.0
